CaseID,B3,ND2,B7_b,GH1,ppeducat,ppethm,weight_pop
1,1,2,1,3,4,1,12033.6823
2,1,3,2,2,4,1,21579.2115
3,1,3,2,3,3,4,20043.8925
4,0,3,1,3,4,1,21793.3678
5,0,1,2,1,4,1,13900.4068
6,0,3,2,1,2,1,19712.6649
7,0,3,1,3,4,1,21304.4017
8,1,3,1,3,3,2,22073.6463
9,1,2,2,3,3,1,19689.1633
10,1,3,2,3,4,1,11108.9163
11,1,2,1,4,2,1,22386.3929
12,0,2,1,1,4,1,12868.1023
13,1,3,3,1,4,1,9879.7232
14,0,1,3,1,4,1,14052.8508
15,1,3,1,2,2,1,22386.3929
16,0,3,2,2,4,5,5007.2256
17,0,3,1,1,2,1,24377.4595
18,0,2,2,2,4,1,11108.9163
19,0,3,1,2,3,1,14146.183
20,1,3,3,3,3,1,23769.8113
21,1,3,2,1,3,1,19419.7496
22,1,2,3,1,3,3,44091.6919
23,1,3,1,2,1,5,26564.0534
24,0,3,1,2,3,1,13150.606
25,0,3,2,1,2,1,18746.3744
26,1,3,2,1,3,1,15327.3057
27,0,3,1,2,3,1,18880.3487
28,1,3,2,2,2,1,36242.7783
29,1,3,2,1,2,2,24602.1489
30,1,3,2,1,4,1,16302.7652
31,1,2,3,1,2,2,26867.235
32,1,3,3,1,3,3,33308.8772
33,1,3,3,2,3,4,22420.6834
34,1,3,3,3,4,4,16834.7006
35,1,2,2,1,2,4,42203.7391
36,0,2,1,3,2,2,27385.2386
37,0,3,1,1,4,1,9731.6919
38,1,3,2,2,4,1,10151.1496
39,0,3,1,1,2,1,13758.0583
40,0,3,2,1,4,1,15092.0511
41,0,3,2,2,3,1,12953.5659
42,1,2,3,1,4,2,21050.3141
43,0,3,2,2,3,1,15464.7741
44,1,3,1,2,2,1,20250.2455
45,1,2,2,3,2,1,16098.9296
46,1,2,3,1,2,3,78692.7234
47,0,2,2,3,3,1,18038.7617
48,1,3,2,1,4,1,16302.7652
49,0,4,1,2,3,1,15091.212
50,0,2,2,2,4,3,11377.0649
51,1,3,3,3,2,2,23235.1701
52,1,1,2,2,4,1,8441.2201
53,0,2,2,2,2,1,12111.1869
54,0,4,2,3,3,3,28952.7311
55,0,3,1,2,4,3,20185.446
56,0,3,1,4,2,1,34027.5749
57,1,3,2,1,3,3,44091.6919
58,1,1,3,2,3,1,16844.592
59,0,3,2,1,3,1,13095.626
60,1,3,1,1,2,1,15280.2056
61,1,3,2,1,4,1,16562.8515
62,0,2,2,1,4,1,15472.8743
63,1,2,3,3,4,1,16329.0748
64,0,3,1,1,4,1,15525.1982
65,1,3,2,2,4,1,13063.8424
66,1,2,1,1,2,1,28383.1341
67,1,3,1,1,2,1,13967.3358
68,0,3,1,1,2,1,23346.0505
69,0,3,2,2,2,1,15280.2056
